"max_depth","lambda","eta","subsample","min_child_weight","colsample_bytree","alpha","gen","prob_corte","fitness"
3,0.65,0.057,0.8,1,0.2,0.5,23,0.0211,7122300
3,0.65,0.057,0.6,7,0.3,0.5,23,0.0209,7080900
3,0.51,0.057,0.8,1,0.2,0.5,24,0.0223,7086300
3,0.61,0.057,0.5,1,0.2,0.5,24,0.0257,7014900
49,0.65,0.057,0.7,1,0.2,0.5,24,0.0118,6802800
19,0.65,0.057,0.8,1,0.2,0.5,24,0.0152,6726300
3,0.65,0.111,0.8,1,0.2,0.5,24,0.0282,6999000
3,0.65,0.057,0.7,2,0.2,0.5,24,0.0235,7095600
3,0.65,0.057,0.7,1,0.2,0.5,24,0.0196,7070700
3,0.61,0.057,0.8,9,0.2,0.5,24,0.0222,7103400
3,0.7,0.057,0.8,1,0.2,0.5,24,0.0206,7120500
3,0.61,0.057,0.7,1,0.2,0.5,24,0.0217,7085100
3,0.61,0.057,0.8,1,0.2,0.5,24,0.022,7161600
3,0.61,0.03,0.8,1,0.2,0.5,25,0.02,7079100
3,0.64,0.057,0.8,1,0.2,0.5,25,0.0236,7143600
3,0.7,0.461,0.8,9,0.2,0.5,25,0.0283,6124800
3,0.55,0.057,0.8,1,0.2,0.5,25,0.021,7152900
3,0.61,0.057,0.8,1,0.9,0.5,25,0.0238,7051800
3,0.61,0.057,0.8,9,0.2,0.56,25,0.0214,7090800
3,0.61,0.057,0.8,1,0.2,0.53,25,0.0246,7074000
3,0.61,0.057,0.7,9,0.2,0.5,25,0.0243,7080900
3,0.61,0.057,0.5,9,0.2,0.5,25,0.0265,7055700
3,0.7,0.057,0.9,1,0.2,0.5,25,0.0234,7083900
3,0.61,0.057,0.8,9,0.2,0.5,25,0.0217,7108800
3,0.7,0.057,0.8,1,0.2,0.5,25,0.0208,7103400
3,0.64,0.057,0.8,1,0.2,0.5,26,0.0224,7083000
3,0.55,0.219,0.8,1,0.2,0.5,26,0.0163,6748800
9,0.64,0.057,0.8,1,0.2,0.5,26,0.021,6950100
11,0.55,0.057,0.8,1,0.2,0.5,26,0.0159,6885600
3,0.64,0.057,0.8,1,0.2,0.62,26,0.0211,7093200
3,0.62,0.057,0.8,1,0.2,0.5,26,0.0179,7117800
3,0.55,0.057,0.9,9,0.2,0.5,26,0.0226,7098900
3,0.61,0.057,0.9,1,0.2,0.5,26,0.0202,7059000
3,0.54,0.057,0.8,1,0.2,0.5,26,0.0215,7079100
3,0.61,0.057,0.8,9,0.2,0.64,26,0.0248,7098900
3,0.61,0.057,0.8,9,0.2,0.5,26,0.0204,7158300
3,0.55,0.057,0.8,1,0.9,0.5,27,0.0264,7081500
3,0.62,0.057,0.9,5,0.2,0.5,27,0.0216,7076100
3,0.62,0.057,0.8,3,0.2,0.5,27,0.0234,7086300
3,0.61,0.057,0.8,6,0.2,0.5,27,0.0212,7110600
3,0.55,0.057,0.9,10,0.2,0.5,27,0.023,7047000
3,0.62,0.057,0.8,1,0.2,0.5,27,0.0219,7098600
3,0.54,0.057,0.9,9,0.2,0.5,27,0.0248,7116300
3,0.62,0.363,0.8,1,0.2,0.5,27,0.0251,6334800
19,0.62,0.057,0.8,1,0.2,0.5,27,0.0102,6864000
3,0.61,0.057,0.8,9,0.3,0.5,27,0.024,7088700
3,0.61,0.057,0.8,9,0.2,0.5,27,0.0222,7147200
3,0.54,0.057,0.8,9,0.2,0.5,28,0.0201,7077900
3,0.59,0.057,0.9,6,0.2,0.5,28,0.0208,7107900
7,0.54,0.057,0.9,9,0.2,0.5,28,0.0235,7014300
3,0.61,0.057,0.8,9,0.2,0.65,28,0.0207,7099500
3,0.54,0.057,0.9,9,0.7,0.5,28,0.0252,7042500
3,0.61,0.057,0.8,9,0.2,0.56,28,0.0206,7164300
3,0.54,0.104,0.9,9,0.2,0.5,28,0.0228,7107300
20,0.61,0.057,0.8,9,0.2,0.5,28,0.0217,6785400
3,0.69,0.057,0.9,6,0.2,0.5,28,0.0234,7095900
3,0.61,0.057,0.8,6,0.2,0.5,28,0.0199,7120800
3,0.54,0.057,0.9,9,0.2,0.5,28,0.0229,7155600
14,0.54,0.057,0.9,9,0.2,0.5,29,0.025,6886200
3,0.61,0.057,0.8,6,0.2,0.56,29,0.0211,7063200
3,0.61,0.084,0.8,9,0.2,0.5,29,0.0212,7022700
3,0.54,0.057,0.9,6,0.2,0.5,29,0.0187,7061700
3,0.54,0.057,0.9,3,0.2,0.56,29,0.0211,7162500
18,0.61,0.057,0.8,9,0.2,0.5,29,0.0226,6862800
3,0.61,0.019,0.9,9,0.2,0.56,29,0.0304,7194300
3,0.54,0.057,0.8,5,0.2,0.5,29,0.0191,7005900
3,0.54,0.057,0.8,9,0.6,0.5,29,0.0214,7029600
28,0.61,0.057,0.9,6,0.2,0.5,29,0.0177,6686100
3,0.54,0.057,0.9,9,0.2,0.5,29,0.0217,7117200
3,0.61,0.057,0.8,6,0.2,0.5,29,0.0224,7054800
3,0.54,0.057,0.9,10,0.2,0.56,30,0.0214,7078800
3,0.54,0.057,0.8,9,0.2,0.5,30,0.0233,7047600
3,0.54,0.057,0.9,3,0.3,0.56,30,0.0208,7046400
3,0.54,0.057,0.9,4,0.2,0.5,30,0.0224,7085400
3,0.54,0.095,0.9,3,0.2,0.56,30,0.0249,7075200
3,0.54,0.057,0.7,9,0.2,0.5,30,0.0216,7085100
3,0.54,0.057,0.8,3,0.2,0.56,30,0.0235,7110000
