Feature	Gain	Cover	Frequency
Visa_mconsumototal__max	0.000626022363138539	NA	0.00239382239382239
marketing_activo_ultimos90dias	0.000618059917208994	NA	0.000154440154440154
mttarjeta_visa_debitos_automaticos	0.000616881781513516	NA	0.00204633204633205
mcajeros_ajenos	0.000613554462406091	NA	0.00131274131274131
Master_msaldototal__min	0.000610846191290106	NA	0.00196911196911197
ccajeros_propio_transacciones__tend	0.000608650855412308	NA	0.00150579150579151
mttarjeta_master_debitos_automaticos__max	0.00060616817379335	NA	0.00158301158301158
mtarjeta_visa_descuentos__tend	0.000605169104887775	NA	0.0016988416988417
tfondos_comunes_inversion	0.000601096122839266	NA	0.00127413127413127
mcuenta_debitos_automaticos__min	0.000599209632831069	NA	0.00166023166023166
ccheques_emitidos_rechazados__tend	0.000597202140639205	NA	0.0011969111969112
Visa_mconsumosdolares	0.000596790532298672	NA	0.00127413127413127
Master_fultimo_cierre__min	0.000596151429380636	NA	0.00154440154440154
Master_mconsumosdolares__max	0.000594067015036843	NA	0.00173745173745174
Visa_mpagosdolares__max	0.000593018966764412	NA	0.00185328185328185
mcuenta_debitos_automaticos__max	0.000588482460754514	NA	0.00162162162162162
mtarjeta_master_consumo__min	0.000588394235583598	NA	0.00166023166023166
Master_mfinanciacion_limite__tend	0.000587069592551233	NA	0.00189189189189189
mcheques_emitidos_rechazados__tend	0.000581737395636752	NA	0.00127413127413127
Visa_tconsumos__min	0.000570762209592433	NA	0.00239382239382239
Visa_mfinanciacion_limite__tend	0.000570546447192839	NA	0.00177606177606178
ttarjeta_visa_debitos_automaticos__min	0.00057054064070929	NA	0.00162162162162162
ttarjeta_master_debitos_automaticos__tend	0.000567880945706665	NA	0.0016988416988417
Visa_mconsumosdolares__tend	0.00056007144862438	NA	0.00185328185328185
Visa_msaldodolares__max	0.00055296027747451	NA	0.00196911196911197
mpagodeservicios__tend	0.000551095572325192	NA	0.00204633204633205
mttarjeta_master_debitos_automaticos__tend	0.000548310767867926	NA	0.00181467181467181
tcaja_seguridad__min	0.00054425514314289	NA	0.00111969111969112
ccajeros_propio_transacciones__max	0.000540937490656807	NA	0.00208494208494208
tcaja_seguridad__tend	0.000537101314696474	NA	0.00189189189189189
tcajas__tend	0.000529128197565246	NA	0.00193050193050193
chomebanking_transacciones__min	0.000526989812818851	NA	0.00142857142857143
Master_msaldototal__tend	0.000521743105187152	NA	0.00166023166023166
tcajas_consultas__max	0.000521734887894183	NA	0.00154440154440154
cextraccion_autoservicio__tend	0.000521113449725964	NA	0.00154440154440154
Visa_mconsumosdolares__min	0.000519097798471028	NA	0.00138996138996139
mplazo_fijo_dolares	0.000516626176864401	NA	0.00135135135135135
Master_mconsumospesos__min	0.000515590197769675	NA	0.00154440154440154
mextraccion_autoservicio__tend	0.000511781020765736	NA	0.00154440154440154
mcheques_emitidos_rechazados	0.000499394925243478	NA	0.00131274131274131
mcambio_monedas_compra__tend	0.000495566582809	NA	0.00150579150579151
mcambio_monedas_venta__max	0.000492015584099307	NA	0.00158301158301158
ctarjeta_master_transacciones__tend	0.000489881924915349	NA	0.00138996138996139
tpagodeservicios__max	0.000487351385198921	NA	0.00154440154440154
mtarjeta_visa_consumo__max	0.000484711561721644	NA	0.00158301158301158
Visa_mpagado__min	0.000481607890350522	NA	0.00142857142857143
Master_msaldopesos__min	0.000479955823819022	NA	0.00158301158301158
Master_tconsumos	0.000479412877258922	NA	0.00123552123552124
Master_mpagado__max	0.000474109244171994	NA	0.00108108108108108
ccheques_depositados__max	0.000473947008343979	NA	0.00138996138996139
ccajeros_propio_transacciones	0.00047001521935191	NA	0.00146718146718147
mtarjeta_visa_descuentos__max	0.000466078164909976	NA	0.00146718146718147
ttarjeta_visa_debitos_automaticos	0.00046523492814855	NA	0.00154440154440154
Master_fultimo_cierre__max	0.00046409242777429	NA	0.00177606177606178
tcallcenter	0.000458393141797004	NA	0.00123552123552124
cextraccion_autoservicio__min	0.000447670978867068	NA	0.001003861003861
tplazo_fijo	0.000445521281473121	NA	0.00108108108108108
mcaja_ahorro_Nopaquete__max	0.000445517966037039	NA	0.00138996138996139
ctarjeta_master_transacciones__max	0.000443902947474879	NA	0.00177606177606178
marketing_activo_ultimos90dias__tend	0.000437920566080383	NA	0.000424710424710425
